field_name	row_count	non_missing_count	missing_like_count	missing_like_fraction	distinct_non_missing_count	notes
age_at_diagnosis	1097	1097	0	0.000000	65	scalar_feature
ajcc_metastasis_pathologic_pm	1097	1097	0	0.000000	4	scalar_feature
ajcc_nodes_pathologic_pn	1097	1097	0	0.000000	16	scalar_feature
ajcc_pathologic_tumor_stage	1097	1086	11	0.010027	12	scalar_feature
ajcc_staging_edition	1097	956	141	0.128532	5	scalar_feature
ajcc_tumor_pathologic_pt	1097	1097	0	0.000000	13	scalar_feature
anatomic_neoplasm_subdivision	1097	1097	0	0.000000	53	scalar_feature
axillary_staging_method	1097	881	216	0.196901	5	scalar_feature
birth_days_to	1097	1082	15	0.013674	1045	scalar_feature
er_status_by_ihc	1097	1048	49	0.044667	3	scalar_feature
ethnicity	1097	923	174	0.158614	2	scalar_feature
gender	1097	1097	0	0.000000	2	scalar_feature
her2_status_by_ihc	1097	919	178	0.162261	4	scalar_feature
histological_type	1097	1096	1	0.000912	8	scalar_feature
history_other_malignancy	1097	1096	1	0.000912	2	scalar_feature
icd_o_3_histology	1097	1097	0	0.000000	22	scalar_feature
initial_pathologic_dx_year	1097	1095	2	0.001823	26	scalar_feature
lymph_nodes_examined_count	1097	971	126	0.114859	42	scalar_feature
lymph_nodes_examined_he_count	1097	929	168	0.153145	31	scalar_feature
margin_status	1097	1029	68	0.061987	3	scalar_feature
menopause_status	1097	1007	90	0.082042	4	scalar_feature
method_initial_path_dx	1097	999	98	0.089335	7	scalar_feature
pr_status_by_ihc	1097	1047	50	0.045579	3	scalar_feature
race	1097	1002	95	0.086600	4	scalar_feature
surgical_procedure_first	1097	1042	55	0.050137	4	scalar_feature
