field_name	row_count	non_missing_count	missing_like_count	missing_like_fraction	distinct_non_missing_count	notes
cohort_v1_build_id	1097	1097	0	0.000000	1	scalar
baseline_analysis_v1_row_id	1097	1097	0	0.000000	1097	scalar
provisional_patient_row_id	1097	1097	0	0.000000	1097	scalar
bcr_patient_barcode	1097	1097	0	0.000000	1097	scalar
bcr_patient_uuid	1097	1097	0	0.000000	1097	scalar
ambiguity_note_flags_json	1097	1097	0	0.000000	1	json_array_cell
join_status_flags_json	1097	1097	0	0.000000	3	json_array_cell
followup_match_row_count	1097	1097	0	0.000000	4	scalar
biospecimen_sample_match_row_count	1097	1097	0	0.000000	3	scalar
row_has_followup_match	1097	1097	0	0.000000	2	derived_yes_no_flag
row_has_biospecimen_sample_match	1097	1097	0	0.000000	1	derived_yes_no_flag
row_has_both_patient_ids	1097	1097	0	0.000000	1	derived_yes_no_flag
row_missing_one_patient_id	1097	1097	0	0.000000	1	derived_yes_no_flag
age_at_diagnosis	1097	1097	0	0.000000	65	scalar
ajcc_metastasis_pathologic_pm	1097	1097	0	0.000000	4	scalar
ajcc_nodes_pathologic_pn	1097	1097	0	0.000000	16	scalar
ajcc_pathologic_tumor_stage	1097	1086	11	0.010027	12	scalar
ajcc_staging_edition	1097	956	141	0.128532	5	scalar
ajcc_tumor_pathologic_pt	1097	1097	0	0.000000	13	scalar
anatomic_neoplasm_subdivision	1097	1097	0	0.000000	53	scalar
axillary_staging_method	1097	881	216	0.196901	5	scalar
birth_days_to	1097	1082	15	0.013674	1045	scalar
er_status_by_ihc	1097	1048	49	0.044667	3	scalar
ethnicity	1097	923	174	0.158614	2	scalar
gender	1097	1097	0	0.000000	2	scalar
her2_status_by_ihc	1097	919	178	0.162261	4	scalar
histological_type	1097	1096	1	0.000912	8	scalar
history_other_malignancy	1097	1096	1	0.000912	2	scalar
icd_10	1097	1097	0	0.000000	7	scalar
icd_o_3_histology	1097	1097	0	0.000000	22	scalar
icd_o_3_site	1097	1097	0	0.000000	6	scalar
initial_pathologic_dx_year	1097	1095	2	0.001823	26	scalar
lymph_nodes_examined_count	1097	971	126	0.114859	42	scalar
lymph_nodes_examined_he_count	1097	929	168	0.153145	31	scalar
margin_status	1097	1029	68	0.061987	3	scalar
menopause_status	1097	1007	90	0.082042	4	scalar
method_initial_path_dx	1097	999	98	0.089335	7	scalar
pr_status_by_ihc	1097	1047	50	0.045579	3	scalar
race	1097	1002	95	0.086600	4	scalar
surgical_procedure_first	1097	1042	55	0.050137	4	scalar
clinical_patient__last_contact_days_to	1097	993	104	0.094804	649	scalar
clinical_patient__new_tumor_event_dx_indicator	1097	195	902	0.822242	2	scalar
clinical_patient__tumor_status	1097	972	125	0.113947	2	scalar
clinical_patient__vital_status	1097	1097	0	0.000000	2	scalar
clinical_follow_up_v4_0__bcr_followup_barcode_json	1097	619	478	0.435734	619	json_array_cell
clinical_follow_up_v4_0__bcr_followup_uuid_json	1097	619	478	0.435734	619	json_array_cell
clinical_follow_up_v4_0__followup_lost_to_json	1097	617	480	0.437557	8	json_array_cell
clinical_follow_up_v4_0__last_contact_days_to_json	1097	562	535	0.487694	492	json_array_cell
clinical_follow_up_v4_0__new_tumor_event_dx_indicator_json	1097	551	546	0.497721	9	json_array_cell
clinical_follow_up_v4_0__tumor_status_json	1097	588	509	0.463993	10	json_array_cell
clinical_follow_up_v4_0__vital_status_json	1097	609	488	0.444850	5	json_array_cell
biospecimen_sample__bcr_patient_uuid_json	1097	1097	0	0.000000	1097	json_array_cell
biospecimen_sample__bcr_sample_barcode_json	1097	1097	0	0.000000	1097	json_array_cell
biospecimen_sample__bcr_sample_uuid_json	1097	1097	0	0.000000	1097	json_array_cell
