os_endpoint_v1_run_id	summary_section	summary_metric	summary_value	notes
20260414T162349Z	input_runs	endpoint_target_prep_v1_run_id	20260414T025234Z	
20260414T162349Z	input_runs	cohort_v1_build_id	20260413T202134Z	
20260414T162349Z	input_runs	baseline_model_input_v1_run_id	20260414T013108Z	
20260414T162349Z	input_runs	source_run_id	20260412T000556Z	
20260414T162349Z	row_counts	os_endpoint_v1_row_count	1097	
20260414T162349Z	row_counts	os_endpoint_v1_conflict_audit_row_count	474	
20260414T162349Z	row_counts	os_endpoint_v1_rule_spec_row_count	9	
20260414T162349Z	row_counts	clinical_xml_patient_endpoint_fields_row_count	1097	
20260414T162349Z	row_counts	clinical_xml_followup_fields_long_row_count	16332	
20260414T162349Z	event_counts	patients_with_os_event_1	152	
20260414T162349Z	event_counts	patients_with_os_event_0	945	
20260414T162349Z	event_counts	patients_with_missing_os_event	0	
20260414T162349Z	time_counts	patients_with_nonmissing_os_time_days	1097	
20260414T162349Z	time_counts	patients_with_missing_os_time_days	0	
20260414T162349Z	time_counts	patients_using_days_to_death	151	
20260414T162349Z	time_counts	patients_using_censored_last_contact_time	946	
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v1_5_days_to_last_followup	5	followup_v1_5_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v1_5_days_to_last_followup_followup_v4_0_days_to_last_followup	1	followup_v1_5_days_to_last_followup|followup_v4_0_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v2_1_days_to_death	10	followup_v2_1_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v2_1_days_to_last_followup	268	followup_v2_1_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v2_1_days_to_last_followup_followup_v4_0_days_to_last_followup	6	followup_v2_1_days_to_last_followup|followup_v4_0_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v4_0_days_to_death	37	followup_v4_0_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__followup_v4_0_days_to_last_followup	454	followup_v4_0_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_death	44	patient_header_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_death_followup_v1_5_days_to_death	7	patient_header_days_to_death|followup_v1_5_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_death_followup_v1_5_days_to_death_followup_v2_1_days_to_death	1	patient_header_days_to_death|followup_v1_5_days_to_death|followup_v2_1_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_death_followup_v1_5_days_to_death_followup_v4_0_days_to_death	1	patient_header_days_to_death|followup_v1_5_days_to_death|followup_v4_0_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_death_followup_v2_1_days_to_death	37	patient_header_days_to_death|followup_v2_1_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_death_followup_v4_0_days_to_death	14	patient_header_days_to_death|followup_v4_0_days_to_death
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_last_followup	57	patient_header_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_last_followup_followup_v1_5_days_to_last_followup	35	patient_header_days_to_last_followup|followup_v1_5_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_last_followup_followup_v1_5_days_to_last_followup_followup_v2_1_days_to_last_followup	2	patient_header_days_to_last_followup|followup_v1_5_days_to_last_followup|followup_v2_1_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_last_followup_followup_v2_1_days_to_last_followup	24	patient_header_days_to_last_followup|followup_v2_1_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_last_followup_followup_v2_1_days_to_last_followup_followup_v4_0_days_to_last_followup	3	patient_header_days_to_last_followup|followup_v2_1_days_to_last_followup|followup_v4_0_days_to_last_followup
20260414T162349Z	time_source_distribution	patients_with_time_source__patient_header_days_to_last_followup_followup_v4_0_days_to_last_followup	91	patient_header_days_to_last_followup|followup_v4_0_days_to_last_followup
20260414T162349Z	conflict_counts	patients_with_vital_status_conflict	48	
20260414T162349Z	conflict_counts	patients_with_dead_without_death_time	1	Event=1 retained, but os_time_days fell back to last-contact-like evidence because no days_to_death was available.
20260414T162349Z	conflict_counts	patients_with_time_without_clear_status	0	
20260414T162349Z	conflict_counts	patients_with_no_usable_time	0	
20260414T162349Z	conflict_counts	patients_with_event_time_inconsistent	1	
20260414T162349Z	conflict_counts	patients_requiring_manual_review	48	
20260414T162349Z	conflict_counts	patients_with_multiple_source_reconciliation	425	Low-priority concordant multi-source reconciliation cases kept for audit visibility.
20260414T162349Z	inclusion_status	included_rule_based_clean	1049	
20260414T162349Z	inclusion_status	included_rule_based_conflict_flagged	48	
20260414T162349Z	inclusion_status	excluded_no_usable_time	0	
20260414T162349Z	inclusion_status	excluded_no_clear_status	0	
20260414T162349Z	provenance	patients_with_followup_max_last_contact_exceeding_header	746	
20260414T162349Z	provenance	patients_with_multiple_followup_versions_contributing_endpoint_evidence	234	
20260414T162349Z	provenance	patients_with_any_followup_version_contributing_chosen_time	996	
20260414T162349Z	status	os_endpoint_v1_readiness_interpretation	join_ready_with_explicit_conflict_flags	
20260414T162349Z	status	stronger_endpoint_claims_status	blocked_pending_manual_reconciliation	
20260414T162349Z	status	treatment_feasibility_status	unchanged_not_addressed	
20260414T162349Z	status	workflow_scope	os_endpoint_v1_only	This workflow does not construct recurrence, DFS, PFS, treatment, or METABRIC-derived endpoints.
