endpoint_target_prep_v1_run_id	coverage_section	coverage_metric	dimension_name	dimension_value	coverage_value	notes
20260414T025234Z	xml_patient_files	parsed_xml_patient_files	scope	all	1097	
20260414T025234Z	followup_version_patient_counts	patients_with_followup_version	followup_version	1.5	113	
20260414T025234Z	followup_version_record_counts	followup_record_count	followup_version	1.5	114	
20260414T025234Z	followup_version_patient_counts	patients_with_followup_version	followup_version	2.1	516	
20260414T025234Z	followup_version_record_counts	followup_record_count	followup_version	2.1	523	
20260414T025234Z	followup_version_patient_counts	patients_with_followup_version	followup_version	4.0	619	
20260414T025234Z	followup_version_record_counts	followup_record_count	followup_version	4.0	716	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	1.5	47	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	1.5|2.1	44	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	1.5|2.1|4.0	4	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	1.5|4.0	18	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	2.1	289	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	2.1|4.0	179	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	4.0	418	
20260414T025234Z	followup_version_combo_patient_counts	patients_with_followup_version_combo	followup_version_combo	none	98	
20260414T025234Z	older_version_only_counts	patients_with_v1_5_only	subset	v1_5_only	47	
20260414T025234Z	older_version_only_counts	patients_with_v2_1_only	subset	v2_1_only	289	
20260414T025234Z	older_version_only_counts	patients_with_v4_0_only	subset	v4_0_only	418	
20260414T025234Z	older_version_only_counts	patients_with_only_older_xml_followup	subset	older_only	380	
20260414T025234Z	older_version_only_counts	patients_with_overlapping_versions	subset	overlap	245	
20260414T025234Z	gain_vs_current_biotab_v4	patients_with_current_biotab_v4_match	comparison_scope	current_biotab_v4_lineage	619	
20260414T025234Z	gain_vs_current_biotab_v4	patients_without_current_biotab_v4_match	comparison_scope	current_biotab_v4_lineage	478	
20260414T025234Z	gain_vs_current_biotab_v4	patients_with_xml_followup_and_no_current_biotab_v4	comparison_scope	coverage_gain	380	
20260414T025234Z	gain_vs_current_biotab_v4	patients_with_xml_gain_over_biotab_v4	comparison_scope	coverage_or_signal_gain	443	
20260414T025234Z	gain_vs_current_biotab_v4	patients_with_xml_v4_vs_current_biotab_v4_last_contact_disagreement	comparison_scope	parsing_consistency_check	0	
20260414T025234Z	gain_vs_current_biotab_v4	patients_with_xml_v4_vs_current_biotab_v4_vital_status_disagreement	comparison_scope	parsing_consistency_check	0	
