endpoint_target_prep_v1_run_id	summary_section	summary_metric	summary_value	notes
20260414T025234Z	input_runs	source_run_id	20260412T000556Z	
20260414T025234Z	input_runs	endpoint_crosswalk_run_id	20260412T042036Z	
20260414T025234Z	input_runs	ambiguity_resolution_run_id	20260413T085636Z	
20260414T025234Z	input_runs	cohort_v1_build_id	20260413T202134Z	
20260414T025234Z	input_runs	baseline_model_input_v1_run_id	20260414T013108Z	
20260414T025234Z	row_counts	total_xml_patient_files_parsed	1097	
20260414T025234Z	row_counts	clinical_xml_patient_endpoint_fields_row_count	1097	
20260414T025234Z	row_counts	clinical_xml_followup_fields_long_row_count	16332	
20260414T025234Z	row_counts	endpoint_target_prep_v1_row_count	1097	
20260414T025234Z	row_counts	endpoint_target_prep_v1_overlap_audit_row_count	1097	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_vital_status_count	1097	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_days_to_last_followup_count	993	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_days_to_last_known_alive_count	0	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_days_to_death_count	104	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_person_neoplasm_cancer_status_count	972	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_new_tumor_event_after_initial_treatment_count	195	
20260414T025234Z	patient_header_coverage	patient_header_nonmissing_days_to_new_tumor_event_after_initial_treatment_count	9	
20260414T025234Z	followup_coverage	patients_with_any_xml_followup	999	
20260414T025234Z	followup_coverage	patients_with_followup_v1_5	113	
20260414T025234Z	followup_coverage	followup_record_count_v1_5	114	
20260414T025234Z	followup_coverage	patients_with_followup_v2_1	516	
20260414T025234Z	followup_coverage	followup_record_count_v2_1	523	
20260414T025234Z	followup_coverage	patients_with_followup_v4_0	619	
20260414T025234Z	followup_coverage	followup_record_count_v4_0	716	
20260414T025234Z	followup_coverage	patients_with_only_older_xml_followup	380	
20260414T025234Z	followup_coverage	patients_with_overlapping_xml_followup_versions	245	
20260414T025234Z	followup_coverage	patients_with_no_xml_followup	98	
20260414T025234Z	gain_vs_current_biotab_v4	patients_gaining_followup_beyond_current_biotab_v4	380	Defined as any XML follow-up present with no current grouped biotab v4 match in minimal_cohort_v1.
20260414T025234Z	gain_vs_current_biotab_v4	patients_with_xml_gain_over_biotab_v4	443	Union flag covering older-version-only coverage, later XML last-contact evidence, or XML days_to_death evidence.
20260414T025234Z	days_to_death	patients_with_nonmissing_days_to_death_any_xml	151	Counts patient-header or follow-up XML days_to_death evidence.
20260414T025234Z	last_contact_review	patients_with_later_followup_than_patient_header_days_to_last_followup	746	Compares follow-up max days_to_last_followup against patient-header days_to_last_followup only.
20260414T025234Z	os_style_endpoint_prep	patients_with_nonmissing_last_contact_like_any_xml	993	days_to_last_followup is primary comparable field; days_to_last_known_alive is carried as auxiliary evidence only.
20260414T025234Z	os_style_endpoint_prep	patients_with_usable_os_style_ingredients_any_xml	1097	Defined as any XML vital_status plus any XML days_to_death or last-contact-like evidence.
20260414T025234Z	os_style_endpoint_prep	os_style_endpoint_prep_readiness_interpretation	closer_ready_for_manual_endpoint_freeze_review	Endpoint freeze remains blocked; this workflow prepares a patient-level reconciliation layer only.
20260414T025234Z	status	endpoint_freeze_status	blocked_pending_manual_reconciliation	
20260414T025234Z	status	treatment_feasibility_status	unchanged_not_addressed	
20260414T025234Z	manual_validation_examples	sample_patient_present_TCGA-AO-A0J5	true	01-data/raw/tcga-brca/gdc/downloads/clinical/20260412T000556Z/9971fba6-bfb8-4417-b2f0-1a944964f8a5/nationwidechildrens.org_clinical.TCGA-AO-A0J5.xml
20260414T025234Z	manual_validation_examples	sample_patient_present_TCGA-AR-A0TT	true	01-data/raw/tcga-brca/gdc/downloads/clinical/20260412T000556Z/04b8884d-ffa3-486e-84b7-681c51bb259e/nationwidechildrens.org_clinical.TCGA-AR-A0TT.xml
20260414T025234Z	manual_validation_examples	sample_patient_present_TCGA-BH-A0HF	true	01-data/raw/tcga-brca/gdc/downloads/clinical/20260412T000556Z/9a7add2f-da5f-494f-aaa5-5e9c96001a46/nationwidechildrens.org_clinical.TCGA-BH-A0HF.xml
