drug_class_profile_v1_run_id	review_group_type	field_name	row_count	non_missing_count	missing_like_count	missing_like_fraction	distinct_non_missing_count	notes
20260415T065150Z	all_treated	age_at_diagnosis	780	780	0	0.0000	62	
20260415T065150Z	all_treated	er_status_by_ihc	780	746	34	0.0436	2	
20260415T065150Z	all_treated	pr_status_by_ihc	780	745	35	0.0449	3	
20260415T065150Z	all_treated	her2_status_by_ihc	780	693	87	0.1115	4	
20260415T065150Z	all_treated	ajcc_pathologic_tumor_stage	780	773	7	0.0090	12	
20260415T065150Z	all_treated	histological_type	780	780	0	0.0000	8	
20260415T065150Z	single_known_class_clean	age_at_diagnosis	179	179	0	0.0000	46	
20260415T065150Z	single_known_class_clean	er_status_by_ihc	179	168	11	0.0615	2	
20260415T065150Z	single_known_class_clean	pr_status_by_ihc	179	168	11	0.0615	2	
20260415T065150Z	single_known_class_clean	her2_status_by_ihc	179	157	22	0.1229	4	
20260415T065150Z	single_known_class_clean	ajcc_pathologic_tumor_stage	179	178	1	0.0056	10	
20260415T065150Z	single_known_class_clean	histological_type	179	179	0	0.0000	5	
20260415T065150Z	single_known_class_plus_unknown	age_at_diagnosis	18	18	0	0.0000	15	
20260415T065150Z	single_known_class_plus_unknown	er_status_by_ihc	18	18	0	0.0000	2	
20260415T065150Z	single_known_class_plus_unknown	pr_status_by_ihc	18	18	0	0.0000	2	
20260415T065150Z	single_known_class_plus_unknown	her2_status_by_ihc	18	18	0	0.0000	4	
20260415T065150Z	single_known_class_plus_unknown	ajcc_pathologic_tumor_stage	18	18	0	0.0000	6	
20260415T065150Z	single_known_class_plus_unknown	histological_type	18	18	0	0.0000	3	
20260415T065150Z	multi_known_class	age_at_diagnosis	553	553	0	0.0000	55	
20260415T065150Z	multi_known_class	er_status_by_ihc	553	530	23	0.0416	2	
20260415T065150Z	multi_known_class	pr_status_by_ihc	553	529	24	0.0434	2	
20260415T065150Z	multi_known_class	her2_status_by_ihc	553	489	64	0.1157	4	
20260415T065150Z	multi_known_class	ajcc_pathologic_tumor_stage	553	547	6	0.0108	12	
20260415T065150Z	multi_known_class	histological_type	553	553	0	0.0000	8	
20260415T065150Z	unknown_only	age_at_diagnosis	25	25	0	0.0000	20	
20260415T065150Z	unknown_only	er_status_by_ihc	25	25	0	0.0000	2	
20260415T065150Z	unknown_only	pr_status_by_ihc	25	25	0	0.0000	3	
20260415T065150Z	unknown_only	her2_status_by_ihc	25	24	1	0.0400	4	
20260415T065150Z	unknown_only	ajcc_pathologic_tumor_stage	25	25	0	0.0000	6	
20260415T065150Z	unknown_only	histological_type	25	25	0	0.0000	3	
20260415T065150Z	missing_like_only	age_at_diagnosis	5	5	0	0.0000	5	
20260415T065150Z	missing_like_only	er_status_by_ihc	5	5	0	0.0000	2	
20260415T065150Z	missing_like_only	pr_status_by_ihc	5	5	0	0.0000	2	
20260415T065150Z	missing_like_only	her2_status_by_ihc	5	5	0	0.0000	2	
20260415T065150Z	missing_like_only	ajcc_pathologic_tumor_stage	5	5	0	0.0000	2	
20260415T065150Z	missing_like_only	histological_type	5	5	0	0.0000	2	
20260415T065150Z	any_class_alkylating_agent	age_at_diagnosis	486	486	0	0.0000	52	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_alkylating_agent	er_status_by_ihc	486	464	22	0.0453	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_alkylating_agent	pr_status_by_ihc	486	463	23	0.0473	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_alkylating_agent	her2_status_by_ihc	486	428	58	0.1193	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_alkylating_agent	ajcc_pathologic_tumor_stage	486	480	6	0.0123	12	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_alkylating_agent	histological_type	486	486	0	0.0000	8	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_anthracycline	age_at_diagnosis	383	383	0	0.0000	48	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_anthracycline	er_status_by_ihc	383	369	14	0.0366	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_anthracycline	pr_status_by_ihc	383	368	15	0.0392	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_anthracycline	her2_status_by_ihc	383	344	39	0.1018	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_anthracycline	ajcc_pathologic_tumor_stage	383	378	5	0.0131	11	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_anthracycline	histological_type	383	383	0	0.0000	7	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_taxane	age_at_diagnosis	402	402	0	0.0000	50	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_taxane	er_status_by_ihc	402	401	1	0.0025	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_taxane	pr_status_by_ihc	402	401	1	0.0025	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_taxane	her2_status_by_ihc	402	367	35	0.0871	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_taxane	ajcc_pathologic_tumor_stage	402	399	3	0.0075	12	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_taxane	histological_type	402	402	0	0.0000	8	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_platinum	age_at_diagnosis	31	31	0	0.0000	21	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_platinum	er_status_by_ihc	31	31	0	0.0000	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_platinum	pr_status_by_ihc	31	31	0	0.0000	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_platinum	her2_status_by_ihc	31	30	1	0.0323	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_platinum	ajcc_pathologic_tumor_stage	31	31	0	0.0000	8	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_platinum	histological_type	31	31	0	0.0000	5	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_antimetabolite	age_at_diagnosis	122	122	0	0.0000	44	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_antimetabolite	er_status_by_ihc	122	105	17	0.1393	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_antimetabolite	pr_status_by_ihc	122	104	18	0.1475	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_antimetabolite	her2_status_by_ihc	122	97	25	0.2049	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_antimetabolite	ajcc_pathologic_tumor_stage	122	122	0	0.0000	9	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_antimetabolite	histological_type	122	122	0	0.0000	5	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_serm	age_at_diagnosis	252	252	0	0.0000	57	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_serm	er_status_by_ihc	252	227	25	0.0992	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_serm	pr_status_by_ihc	252	227	25	0.0992	2	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_serm	her2_status_by_ihc	252	214	38	0.1508	4	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_serm	ajcc_pathologic_tumor_stage	252	249	3	0.0119	11	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_serm	histological_type	252	252	0	0.0000	5	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	age_at_diagnosis	328	328	0	0.0000	56	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	any_class_endocrine_aromatase_inhibitor	er_status_by_ihc	328	327	1	0.0030	2	patients where class appears in provisional_drug_class_values_json
