drug_class_profile_v1_run_id	summary_section	summary_metric	summary_value	notes
20260415T065150Z	inputs	drug_name_normalization_v1_run_id	20260415T050152Z	
20260415T065150Z	inputs	patient_treatment_grouping_v1_run_id	20260414T210420Z	
20260415T065150Z	inputs	os_endpoint_v1_run_id	20260414T162349Z	
20260415T065150Z	inputs	baseline_model_input_v1_run_id	20260414T013108Z	
20260415T065150Z	inputs	baseline_analysis_v1_run_id	20260413T213900Z	
20260415T065150Z	inputs	cohort_v1_build_id	20260413T202134Z	
20260415T065150Z	coverage	total_treated_patients_reviewed	780	
20260415T065150Z	coverage	total_drug_class_profile_rows	780	
20260415T065150Z	coverage	distinct_provisional_classes_in_vocabulary	13	
20260415T065150Z	coverage	distinct_known_classes_in_vocabulary	12	
20260415T065150Z	coverage	major_classes_min_audit_threshold	20	
20260415T065150Z	coverage	major_classes_count	10	
20260415T065150Z	coverage	major_classes_list	"[""alkylating_agent"", ""anthracycline"", ""taxane"", ""platinum"", ""antimetabolite"", ""endocrine_serm"", ""endocrine_aromatase_inhibitor"", ""endocrine_other"", ""her2_targeted"", ""ancillary_supportive""]"	
20260415T065150Z	patients	single_known_class_clean_count	179	
20260415T065150Z	patients	single_known_class_plus_unknown_count	18	
20260415T065150Z	patients	multi_known_class_count	553	
20260415T065150Z	patients	unknown_only_count	25	
20260415T065150Z	patients	missing_like_only_count	5	
20260415T065150Z	patients	bucket_count_sum_check	780	should equal 780
20260415T065150Z	classes	any_class_alkylating_agent_patient_count	486	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_anthracycline_patient_count	383	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_taxane_patient_count	402	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_platinum_patient_count	31	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_antimetabolite_patient_count	122	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_endocrine_serm_patient_count	252	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_endocrine_aromatase_inhibitor_patient_count	328	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_endocrine_other_patient_count	30	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_her2_targeted_patient_count	73	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_immunotherapy_patient_count	7	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_ancillary_supportive_patient_count	42	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	any_class_other_cytotoxic_patient_count	12	patients where class appears in provisional_drug_class_values_json
20260415T065150Z	classes	dominant_class_alkylating_agent_patient_count	1	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_anthracycline_patient_count	0	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_taxane_patient_count	2	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_platinum_patient_count	0	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_antimetabolite_patient_count	1	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_endocrine_serm_patient_count	61	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_endocrine_aromatase_inhibitor_patient_count	113	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_endocrine_other_patient_count	1	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_her2_targeted_patient_count	3	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_immunotherapy_patient_count	1	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_ancillary_supportive_patient_count	1	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	dominant_class_other_cytotoxic_patient_count	0	patients where dominant_provisional_drug_class_if_any == class
20260415T065150Z	classes	classes_with_any_membership_ge_50	7	
20260415T065150Z	classes	classes_with_dominant_membership_ge_50	2	
20260415T065150Z	candidates	total_candidates_assessed	18	
20260415T065150Z	candidates	promising_candidates_count	3	
20260415T065150Z	candidates	needs_review_candidates_count	2	
20260415T065150Z	candidates	not_recommended_candidates_count	13	
20260415T065150Z	candidates	promising_candidate_labels	"[""single_known_class_clean_all"", ""dominant_class_endocrine_aromatase_inhibitor"", ""clean_bucket_x_dominant_endocrine_aromatase_inhibitor""]"	
20260415T065150Z	readiness	provisional_readiness_interpretation	ready_for_treatment_arm_freeze_candidate_discussion	descriptive review status only; does not freeze treatment arms
20260415T065150Z	readiness	treatment_arm_freeze_review_status	provisional_review_next_only	blocked = not yet ready; provisional_review_next_only = promising candidates found
20260415T065150Z	readiness	treatment_recommendation_modeling_status	out_of_scope	treatment recommendation modeling remains out of scope
