drug_name_normalization_v1_run_id	raw_drug_name	normalized_raw_drug_name_for_matching	provisional_normalized_drug_name	normalization_rule	normalization_confidence	manual_review_needed	notes
20260415T045844Z	Cytoxan	cytoxan	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T045844Z	Tamoxifen	tamoxifen	tamoxifen	brand_generic_equivalence_or_case_normalization	confident	no	Tamoxifen brand/salt variants collapse to tamoxifen.
20260415T045844Z	Cyclophosphamide	cyclophosphamide	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T045844Z	Doxorubicin	doxorubicin	doxorubicin	brand_generic_equivalence_or_case_normalization	confident	no	Doxorubicin and Adriamycin collapse to doxorubicin.
20260415T045844Z	Arimidex	arimidex	anastrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Anastrozole and Arimidex labels collapse to anastrozole.
20260415T045844Z	Adriamycin	adriamycin	doxorubicin	brand_generic_equivalence_or_case_normalization	confident	no	Doxorubicin and Adriamycin collapse to doxorubicin.
20260415T045844Z	Paclitaxel	paclitaxel	paclitaxel	brand_generic_equivalence_or_case_normalization	confident	no	Paclitaxel and Taxol collapse to paclitaxel.
20260415T045844Z	Taxotere	taxotere	docetaxel	brand_generic_equivalence_or_case_normalization	confident	no	Docetaxel and Taxotere collapse to docetaxel.
20260415T045844Z	Docetaxel	docetaxel	docetaxel	brand_generic_equivalence_or_case_normalization	confident	no	Docetaxel and Taxotere collapse to docetaxel.
20260415T045844Z	Taxol	taxol	paclitaxel	brand_generic_equivalence_or_case_normalization	confident	no	Paclitaxel and Taxol collapse to paclitaxel.
20260415T045844Z	Anastrozole	anastrozole	anastrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Anastrozole and Arimidex labels collapse to anastrozole.
20260415T045844Z	5-Fluorouracil	5 fluorouracil	5-fluorouracil	generic_synonym_and_case_normalization	confident	no	5-FU and fluorouracil labels collapse to 5-fluorouracil.
20260415T045844Z	Epirubicin	epirubicin	epirubicin	case_punctuation_normalization_only	confident	no	Single-agent name retained with case normalization only.
20260415T045844Z	Trastuzumab	trastuzumab	trastuzumab	brand_generic_equivalence_or_case_normalization	confident	no	Trastuzumab and Herceptin collapse to trastuzumab.
20260415T045844Z	Fluorouracil	fluorouracil	5-fluorouracil	generic_synonym_and_case_normalization	confident	no	5-FU and fluorouracil labels collapse to 5-fluorouracil.
20260415T045844Z	Letrozole	letrozole	letrozole	brand_generic_equivalence_or_parenthetical_equivalence	confident	no	Letrozole and Femara labels collapse to letrozole.
20260415T045844Z	CYCLOPHOSPHAMIDE	cyclophosphamide	cyclophosphamide	brand_generic_equivalence_or_case_normalization	confident	no	Cyclophosphamide and Cytoxan collapse to cyclophosphamide.
20260415T045844Z	Herceptin	herceptin	trastuzumab	brand_generic_equivalence_or_case_normalization	confident	no	Trastuzumab and Herceptin collapse to trastuzumab.
20260415T045844Z	Carboplatin	carboplatin	carboplatin	case_punctuation_normalization_only	confident	no	Single-agent name retained with case normalization only.
