patient_treatment_master_v1_run_id	summary_section	summary_metric	summary_value	notes
20260416T014627Z	inputs	patient_treatment_profile_v1_run_id	20260414T200843Z	Current local patient-level treatment profile feeding the integration.
20260416T014627Z	inputs	indexed_clinical_vs_local_treatment_v1_run_id	20260416T004139Z	Saved indexed clinical comparison layer used as the official supplemental indexed input.
20260416T014627Z	inputs	treatment_source_audit_run_id	20260415T233526Z	Latest source-audit lineage carried forward from the indexed clinical comparison workflow.
20260416T014627Z	inputs	gdc_data_release	Data Release 45.0 - December 04, 2025	Live GDC release captured by the saved indexed comparison layer.
20260416T014627Z	inputs	gdc_tag	8.3.1	Live GDC API tag captured by the saved indexed comparison layer.
20260416T014627Z	inputs	integrated_cohort_patient_count	1097	Anchored to patient_treatment_profile_v1 only; no cohort expansion during this integration step.
20260416T014627Z	inputs	indexed_only_case_count_not_integrated	1	"Indexed-only out-of-cohort barcodes: [""TCGA-BH-A0B2""]"
20260416T014627Z	coverage	any_treatment_local_count	819	Count before indexed supplemental integration.
20260416T014627Z	coverage	any_treatment_master_count	1097	Count after combining local treatment evidence with indexed clinical broad evidence.
20260416T014627Z	coverage	any_treatment_gain_count	278	Absolute patient-count gain from adding indexed clinical evidence.
20260416T014627Z	coverage	any_treatment_master_fraction	1.0000	Fraction of the integrated cohort with this broad treatment signal after integration.
20260416T014627Z	coverage	druglike_local_count	780	Count before indexed supplemental integration.
20260416T014627Z	coverage	druglike_master_count	1027	Count after combining local treatment evidence with indexed clinical broad evidence.
20260416T014627Z	coverage	druglike_gain_count	247	Absolute patient-count gain from adding indexed clinical evidence.
20260416T014627Z	coverage	druglike_master_fraction	0.9362	Fraction of the integrated cohort with this broad treatment signal after integration.
20260416T014627Z	coverage	radiation_local_count	528	Count before indexed supplemental integration.
20260416T014627Z	coverage	radiation_master_count	1023	Count after combining local treatment evidence with indexed clinical broad evidence.
20260416T014627Z	coverage	radiation_gain_count	495	Absolute patient-count gain from adding indexed clinical evidence.
20260416T014627Z	coverage	radiation_master_fraction	0.9325	Fraction of the integrated cohort with this broad treatment signal after integration.
20260416T014627Z	coverage	non_surgical_local_count	819	Count before indexed supplemental integration.
20260416T014627Z	coverage	non_surgical_master_count	1027	Count after combining local treatment evidence with indexed clinical broad evidence.
20260416T014627Z	coverage	non_surgical_gain_count	208	Absolute patient-count gain from adding indexed clinical evidence.
