treatment_groups_descriptive_v1_run_id	treatment_group_v1	field_name	value_summary_type	group_patient_count	non_missing_count	missing_like_count	distinct_non_missing_count	value_rank	value_label	value_count	value_fraction	numeric_min	numeric_median	numeric_max	notes
20260414T215230Z	no_drug_record	age_at_diagnosis	numeric_summary	317	317	0	62					26	61	90	Age summary uses non-missing values only.
20260414T215230Z	no_drug_record	er_status_by_ihc	categorical_top_value	317	302	15	3	1	Positive	225	0.7098				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	er_status_by_ihc	categorical_top_value	317	302	15	3	2	Negative	75	0.2366				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	er_status_by_ihc	categorical_top_value	317	302	15	3	3	Indeterminate	2	0.0063				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	pr_status_by_ihc	categorical_top_value	317	302	15	3	1	Positive	188	0.5931				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	pr_status_by_ihc	categorical_top_value	317	302	15	3	2	Negative	111	0.3502				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	pr_status_by_ihc	categorical_top_value	317	302	15	3	3	Indeterminate	3	0.0095				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	her2_status_by_ihc	categorical_top_value	317	226	91	4	1	Negative	141	0.4448				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	her2_status_by_ihc	categorical_top_value	317	226	91	4	2	Positive	61	0.1924				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	her2_status_by_ihc	categorical_top_value	317	226	91	4	3	Equivocal	22	0.0694				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	her2_status_by_ihc	categorical_top_value	317	226	91	4	4	Indeterminate	2	0.0063				Showing all distinct non-missing values for this field within the provisional group.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	1	Stage IIA	95	0.2997				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	2	Stage IIB	69	0.2177				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	3	Stage IIIA	42	0.1325				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	4	Stage I	29	0.0915				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	5	Stage IA	28	0.0883				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	6	Stage IIIB	16	0.0505				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	7	Stage IIIC	9	0.0284				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	8	Stage IV	9	0.0284				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	9	Stage X	9	0.0284				Showing the top 10 values out of 11 distinct non-missing values.
20260414T215230Z	no_drug_record	ajcc_pathologic_tumor_stage	categorical_top_value	317	313	4	11	10	Stage II	4	0.0126				Showing the top 10 values out of 11 distinct non-missing values.
