audit_run_id	parse_run_id	source_run_id	table_name	probable_field_group	field_count	field_fraction_of_table	non_missing_any_field_count	high_missingness_field_count	field_names_json
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	demographics	6	0.053571	6	0	"[""birth_days_to"", ""gender"", ""menopause_status"", ""race"", ""ethnicity"", ""age_at_diagnosis""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	diagnosis / pathology	24	0.214286	23	9	"[""histologic_diagnosis_other"", ""method_initial_path_dx"", ""method_initial_path_dx_other"", ""surgical_procedure_first"", ""first_surgical_procedure_other"", ""margin_status"", ""surgery_for_positive_margins"", ""surgery_for_positive_margins_other"", ""margin_status_reexcision"", ""axillary_staging_method"", ""axillary_staging_method_other"", ""lymph_nodes_examined"", ""lymph_nodes_examined_count"", ""lymph_nodes_examined_he_count"", ""metastasis_site"", ""metastasis_site_other"", ""anatomic_neoplasm_subdivision"", ""histological_type"", ""icd_10"", ""icd_o_3_histology"", ""icd_o_3_site"", ""metastatic_tumor_indicator"", ""site_of_primary_tumor_other"", ""tumor_tissue_site""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	stage	12	0.107143	7	5	"[""initial_pathologic_dx_year"", ""ajcc_staging_edition"", ""ajcc_tumor_pathologic_pt"", ""ajcc_nodes_pathologic_pn"", ""ajcc_metastasis_pathologic_pm"", ""ajcc_pathologic_tumor_stage"", ""clinical_M"", ""clinical_N"", ""clinical_T"", ""clinical_stage"", ""days_to_initial_pathologic_diagnosis"", ""stage_other""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	receptor / biomarker	49	0.4375	38	39	"[""history_other_malignancy"", ""micromet_detection_by_ihc"", ""lymph_nodes_examined_ihc_count"", ""er_status_by_ihc"", ""er_status_ihc_Percent_Positive"", ""er_positivity_scale_used"", ""er_ihc_score"", ""er_positivity_scale_other"", ""er_positivity_method"", ""pr_status_by_ihc"", ""pr_status_ihc_percent_positive"", ""pr_positivity_scale_used"", ""pr_positivity_ihc_intensity_score"", ""pr_positivity_scale_other"", ""pr_positivity_define_method"", ""her2_status_by_ihc"", ""her2_ihc_percent_positive"", ""her2_ihc_score"", ""her2_positivity_scale_other"", ""her2_positivity_method_text"", ""her2_fish_status"", ""her2_copy_number"", ""cent17_copy_number"", ""her2_and_cent17_cells_count"", ""her2_cent17_ratio"", ""her2_and_cent17_scale_other"", ""her2_fish_method"", ""nte_er_status"", ""nte_er_status_ihc__positive"", ""nte_er_ihc_intensity_score"", ""nte_er_positivity_other_scale"", ""nte_er_positivity_define_method"", ""nte_pr_status_by_ihc"", ""nte_pr_status_ihc__positive"", ""nte_pr_ihc_intensity_score"", ""nte_pr_positivity_other_scale"", ""nte_pr_positivity_define_method"", ""nte_her2_status"", ""nte_her2_status_ihc__positive"", ""nte_her2_positivity_ihc_score"", ""nte_her2_positivity_other_scale"", ""nte_her2_positivity_method"", ""nte_her2_fish_status"", ""nte_her2_signal_number"", ""nte_cent_17_signal_number"", ""her2_cent17_counted_cells_count"", ""nte_cent_17_her2_ratio"", ""nte_cent17_her2_other_scale"", ""nte_her2_fish_define_method""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	treatment / drug	2	0.017857	2	1	"[""history_neoadjuvant_treatment"", ""pharmaceutical_tx_adjuvant""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	radiation	1	0.008929	1	1	"[""radiation_treatment_adjuvant""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	follow-up / outcome-like	7	0.0625	5	4	"[""tumor_status"", ""vital_status"", ""last_contact_days_to"", ""death_days_to"", ""new_tumor_event_dx_indicator"", ""days_to_patient_progression_free"", ""days_to_tumor_progression""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	identifier / admin	10	0.089286	10	2	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""form_completion_date"", ""prospective_collection"", ""retrospective_collection"", ""disease_code"", ""informed_consent_verified"", ""patient_id"", ""project_code"", ""tissue_source_site""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_patient	other / unclear	1	0.008929	0	1	"[""extranodal_involvement""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	demographics	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	diagnosis / pathology	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	stage	2	0.071429	2	1	"[""clinical_trial_drug_classification"", ""tx_on_clinical_trial""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	receptor / biomarker	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	treatment / drug	20	0.714286	15	7	"[""pharmaceutical_therapy_drug_name"", ""pharmaceutical_therapy_type"", ""pharmaceutical_tx_started_days_to"", ""pharmaceutical_tx_ongoing_indicator"", ""pharmaceutical_tx_ended_days_to"", ""days_to_stem_cell_transplantation"", ""pharm_regimen"", ""pharm_regimen_other"", ""pharma_adjuvant_cycles_count"", ""pharma_type_other"", ""pharmaceutical_tx_dose_units"", ""pharmaceutical_tx_total_dose_units"", ""prescribed_dose"", ""regimen_number"", ""route_of_administration"", ""stem_cell_transplantation"", ""stem_cell_transplantation_type"", ""therapy_regimen"", ""therapy_regimen_other"", ""total_dose""]"
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	radiation	0	0.0	0	0	[]
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	follow-up / outcome-like	1	0.035714	1	0	"[""treatment_best_response""]"
