audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	alternate_column_name	cde_id_raw	row_count	non_missing_count	missing_like_count	missing_like_fraction	distinct_non_missing_count	example_values_small_sample	probable_field_group	group_assignment_rule	blank_count	not_available_count	not_applicable_count	unknown_count	not_evaluated_count	discrepancy_count	na_count	n_a_count	null_count	none_count	nan_count
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_patient_uuid	1	bcr_patient_uuid	CDE_ID:	2406	2406	0	0.0	780	"[""C07B122E-AC50-4DB2-ADD2-5617A5D0E976"", ""9435447e-d65f-408b-863b-6576b1d652dd"", ""8d5fe6e8-d2cc-481f-a6a1-9cb6e7982cde"", ""eff2360e-399a-4167-ab2b-798e27bef739"", ""2d0d7ff4-7866-4ae1-9cf1-a3c7f4cbe48d""]"	identifier / admin	identifier_prefix:bcr_	0	0	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_patient_barcode	2	bcr_patient_barcode	CDE_ID:2003301	2406	2406	0	0.0	780	"[""TCGA-GM-A2DA"", ""TCGA-AO-A03N"", ""TCGA-A2-A0EW"", ""TCGA-E2-A107"", ""TCGA-A2-A0CY""]"	identifier / admin	identifier_prefix:bcr_	0	0	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_drug_barcode	3	bcr_drug_barcode	CDE_ID:	2406	2406	0	0.0	2406	"[""TCGA-3C-AAAU-D60350"", ""TCGA-3C-AALI-D62900"", ""TCGA-3C-AALJ-D62904"", ""TCGA-3C-AALJ-D65375"", ""TCGA-3C-AALJ-D65377""]"	identifier / admin	identifier_prefix:bcr_	0	0	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	bcr_drug_uuid	4	bcr_drug_uuid	CDE_ID:	2406	2406	0	0.0	2406	"[""00300D73-B562-4EE9-A8D4-27E5B97AE501"", ""00512901-db10-4833-8adf-5b3734b5d64f"", ""00C007B0-1048-4B35-B0C6-48FD9B881A51"", ""00E33CEE-3545-4F64-BF71-25DC3724D422"", ""00E48087-B371-4EB8-93D4-4F9C4E366C28""]"	identifier / admin	identifier_prefix:bcr_	0	0	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	form_completion_date	5	form_completion_date	CDE_ID:	2406	2406	0	0.0	345	"[""2012-12-6"", ""2011-1-10"", ""2010-9-19"", ""2013-8-22"", ""2010-11-18""]"	identifier / admin	identifier_exact_name:form_completion_date	0	0	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_therapy_drug_name	6	drug_name	CDE_ID:2975232	2406	2390	16	0.00665	203	"[""Cytoxan"", ""Tamoxifen"", ""Cyclophosphamide"", ""Doxorubicin"", ""Arimidex""]"	treatment / drug	keyword:drug	0	15	0	1	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	clinical_trial_drug_classification	7	clinical_trail_drug_classification	CDE_ID:3378323	2406	3	2403	0.998753	3	"[""Antimetabolite"", ""Biological Therapy/Monoclonal Antibody"", ""TAXOL""]"	stage	keyword:clinical_t	0	2285	0	0	0	0	0	118	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_therapy_type	8	therapy_type	CDE_ID:2793530	2406	2399	7	0.002909	8	"[""Chemotherapy"", ""Hormone Therapy"", ""Immunotherapy"", ""Targeted Molecular therapy"", ""Ancillary""]"	treatment / drug	keyword:pharm	0	7	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_started_days_to	9	days_to_drug_therapy_start	CDE_ID:3392465	2406	2288	118	0.049044	486	"[""50"", ""61"", ""31"", ""62"", ""63""]"	treatment / drug	keyword:pharm	0	116	0	0	0	2	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_ongoing_indicator	10	therapy_ongoing	CDE_ID:3103479	2406	2391	15	0.006234	2	"[""NO"", ""YES""]"	treatment / drug	keyword:pharm	0	15	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	pharmaceutical_tx_ended_days_to	11	days_to_drug_therapy_end	CDE_ID:3392470	2406	1805	601	0.249792	504	"[""122"", ""147"", ""140"", ""153"", ""155""]"	treatment / drug	keyword:pharm	0	601	0	0	0	0	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	treatment_best_response	12	measure_of_response	CDE_ID:2857291	2406	645	1761	0.73192	4	"[""Complete Response"", ""Clinical Progressive Disease"", ""Stable Disease"", ""Partial Response""]"	follow-up / outcome-like	keyword:response	0	1455	176	126	0	4	0	0	0	0	0
20260412T023748Z	20260412T010932Z	20260412T000556Z	clinical_drug	days_to_stem_cell_transplantation	13	days_to_stem_cell_transplantation	CDE_ID:3414613	2406	0	2406	1.0	0	[]	treatment / drug	keyword:stem_cell	0	2406	0	0	0	0	0	0	0	0	0
