shortlist_run_id	core_audit_run_id	parse_run_id	source_run_id	table_name	shortlist_bucket	field_count	field_fraction_of_table	high_priority_count	medium_priority_count	low_priority_count	field_names_json
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	usable_baseline	0	0.0	0	0	0	[]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	usable_treatment_proxy	5	0.178571	0	5	0	"[""pharmaceutical_therapy_drug_name"", ""pharmaceutical_therapy_type"", ""pharmaceutical_tx_started_days_to"", ""pharmaceutical_tx_ongoing_indicator"", ""pharmaceutical_tx_ended_days_to""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	usable_endpoint_candidate	0	0.0	0	0	0	[]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	weak_or_unusable	8	0.285714	0	0	8	"[""clinical_trial_drug_classification"", ""days_to_stem_cell_transplantation"", ""pharm_regimen"", ""pharm_regimen_other"", ""pharma_type_other"", ""stem_cell_transplantation"", ""stem_cell_transplantation_type"", ""therapy_regimen_other""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_drug	unclear_manual_review	15	0.535714	15	0	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""bcr_drug_barcode"", ""bcr_drug_uuid"", ""form_completion_date"", ""treatment_best_response"", ""pharma_adjuvant_cycles_count"", ""pharmaceutical_tx_dose_units"", ""pharmaceutical_tx_total_dose_units"", ""prescribed_dose"", ""regimen_number"", ""route_of_administration"", ""therapy_regimen"", ""total_dose"", ""tx_on_clinical_trial""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	usable_baseline	0	0.0	0	0	0	[]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	usable_treatment_proxy	2	0.153846	0	2	0	"[""radiation_treatment_adjuvant"", ""pharmaceutical_tx_adjuvant""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	usable_endpoint_candidate	5	0.384615	5	0	0	"[""followup_lost_to"", ""tumor_status"", ""vital_status"", ""last_contact_days_to"", ""new_tumor_event_dx_indicator""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	weak_or_unusable	1	0.076923	0	0	1	"[""death_days_to""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	unclear_manual_review	5	0.384615	5	0	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""bcr_followup_barcode"", ""bcr_followup_uuid"", ""form_completion_date""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	usable_baseline	27	0.241071	0	6	21	"[""birth_days_to"", ""gender"", ""menopause_status"", ""race"", ""ethnicity"", ""history_other_malignancy"", ""initial_pathologic_dx_year"", ""age_at_diagnosis"", ""method_initial_path_dx"", ""surgical_procedure_first"", ""margin_status"", ""axillary_staging_method"", ""lymph_nodes_examined_count"", ""lymph_nodes_examined_he_count"", ""ajcc_staging_edition"", ""ajcc_tumor_pathologic_pt"", ""ajcc_nodes_pathologic_pn"", ""ajcc_metastasis_pathologic_pm"", ""ajcc_pathologic_tumor_stage"", ""er_status_by_ihc"", ""pr_status_by_ihc"", ""her2_status_by_ihc"", ""anatomic_neoplasm_subdivision"", ""histological_type"", ""icd_10"", ""icd_o_3_histology"", ""icd_o_3_site""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	usable_treatment_proxy	1	0.008929	0	1	0	"[""history_neoadjuvant_treatment""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	usable_endpoint_candidate	3	0.026786	3	0	0	"[""tumor_status"", ""vital_status"", ""last_contact_days_to""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	weak_or_unusable	51	0.455357	0	0	51	"[""death_days_to"", ""histologic_diagnosis_other"", ""method_initial_path_dx_other"", ""surgery_for_positive_margins"", ""surgery_for_positive_margins_other"", ""margin_status_reexcision"", ""axillary_staging_method_other"", ""metastasis_site"", ""metastasis_site_other"", ""her2_positivity_scale_other"", ""her2_positivity_method_text"", ""cent17_copy_number"", ""her2_and_cent17_cells_count"", ""her2_and_cent17_scale_other"", ""her2_fish_method"", ""nte_er_status"", ""nte_er_status_ihc__positive"", ""nte_er_ihc_intensity_score"", ""nte_er_positivity_other_scale"", ""nte_er_positivity_define_method"", ""nte_pr_status_by_ihc"", ""nte_pr_status_ihc__positive"", ""nte_pr_ihc_intensity_score"", ""nte_pr_positivity_other_scale"", ""nte_pr_positivity_define_method"", ""nte_her2_status"", ""nte_her2_status_ihc__positive"", ""nte_her2_positivity_ihc_score"", ""nte_her2_positivity_other_scale"", ""nte_her2_positivity_method"", ""nte_her2_fish_status"", ""nte_her2_signal_number"", ""nte_cent_17_signal_number"", ""her2_cent17_counted_cells_count"", ""nte_cent_17_her2_ratio"", ""nte_cent17_her2_other_scale"", ""nte_her2_fish_define_method"", ""clinical_M"", ""clinical_N"", ""clinical_T"", ""clinical_stage"", ""days_to_initial_pathologic_diagnosis"", ""days_to_patient_progression_free"", ""days_to_tumor_progression"", ""disease_code"", ""extranodal_involvement"", ""informed_consent_verified"", ""project_code"", ""site_of_primary_tumor_other"", ""stage_other"", ""tumor_tissue_site""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	unclear_manual_review	30	0.267857	30	0	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""form_completion_date"", ""prospective_collection"", ""retrospective_collection"", ""radiation_treatment_adjuvant"", ""pharmaceutical_tx_adjuvant"", ""first_surgical_procedure_other"", ""micromet_detection_by_ihc"", ""lymph_nodes_examined"", ""lymph_nodes_examined_ihc_count"", ""er_status_ihc_Percent_Positive"", ""er_positivity_scale_used"", ""er_ihc_score"", ""er_positivity_scale_other"", ""er_positivity_method"", ""pr_status_ihc_percent_positive"", ""pr_positivity_scale_used"", ""pr_positivity_ihc_intensity_score"", ""pr_positivity_scale_other"", ""pr_positivity_define_method"", ""her2_ihc_percent_positive"", ""her2_ihc_score"", ""her2_fish_status"", ""her2_copy_number"", ""her2_cent17_ratio"", ""new_tumor_event_dx_indicator"", ""metastatic_tumor_indicator"", ""patient_id"", ""tissue_source_site""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_radiation	usable_baseline	0	0.0	0	0	0	[]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_radiation	usable_treatment_proxy	7	0.388889	0	7	0	"[""radiation_therapy_type"", ""radiation_therapy_site"", ""radiation_total_dose"", ""radiation_adjuvant_units"", ""radiation_therapy_started_days_to"", ""radiation_therapy_ongoing_indicator"", ""radiation_therapy_ended_days_to""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_radiation	usable_endpoint_candidate	0	0.0	0	0	0	[]
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_radiation	weak_or_unusable	2	0.111111	0	0	2	"[""radiation_type_other"", ""therapy_regimen_other""]"
20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_radiation	unclear_manual_review	9	0.5	9	0	0	"[""bcr_patient_uuid"", ""bcr_patient_barcode"", ""bcr_radiation_barcode"", ""bcr_radiation_uuid"", ""form_completion_date"", ""radiation_adjuvant_fractions_total"", ""treatment_best_response"", ""course_number"", ""therapy_regimen""]"
