crosswalk_run_id	shortlist_run_id	core_audit_run_id	parse_run_id	source_run_id	table_name	field_name	source_position	alternate_column_name	probable_field_group	missing_like_fraction	non_missing_count	distinct_non_missing_count	example_values_small_sample	candidate_source	original_shortlist_bucket	original_shortlist_rule	selection_rule	endpoint_signal_family	endpoint_signal_type	endpoint_signal_rule	canonical_signal_key	manual_review_priority	notes_placeholder
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	tumor_status	13	person_neoplasm_cancer_status	follow-up / outcome-like	0.113947	972	2	"[""TUMOR FREE"", ""WITH TUMOR""]"	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	progression_or_tumor_status_like	tumor_status_signal	signal_tumor_status_name	tumor_status	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	vital_status	14	vital_status	follow-up / outcome-like	0.0	1097	2	"[""Alive"", ""Dead""]"	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	survival_status_like	survival_status_signal	signal_vital_status_name	vital_status	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	last_contact_days_to	15	days_to_last_followup	follow-up / outcome-like	0.094804	993	649	"[""0"", ""10"", ""7"", ""365"", ""30""]"	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	last_contact_like	last_contact_time_signal	signal_last_contact_name	last_contact_days_to	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	death_days_to	16	days_to_death	follow-up / outcome-like	0.905196	104	101	"[""2965"", ""991"", ""0"", ""1"", ""1009""]"	escalated_manual_review	weak_or_unusable	weak_extreme_missingness	escalate_weak_endpoint_like	death_time_like	death_time_signal	signal_death_days_to_name	death_days_to	low	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	new_tumor_event_dx_indicator	68	new_tumor_event_after_initial_treatment	follow-up / outcome-like	0.822242	195	2	"[""NO"", ""YES""]"	escalated_manual_review	unclear_manual_review	manual_default_fallback	escalate_unclear_endpoint_like	new_tumor_event_like	new_tumor_event_signal	signal_new_tumor_event_name	new_tumor_event_dx_indicator	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	days_to_patient_progression_free	97	days_to_patient_progression_free	follow-up / outcome-like	1.0	0	0	[]	escalated_manual_review	weak_or_unusable	weak_all_missing	escalate_weak_endpoint_like	progression_or_tumor_status_like	progression_time_signal	signal_progression_name	days_to_patient_progression_free	low	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_patient	days_to_tumor_progression	98	days_to_tumor_progression	follow-up / outcome-like	1.0	0	0	[]	escalated_manual_review	weak_or_unusable	weak_all_missing	escalate_weak_endpoint_like	progression_or_tumor_status_like	progression_time_signal	signal_progression_name	days_to_tumor_progression	low	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	followup_lost_to	6	lost_follow_up	follow-up / outcome-like	0.036313	690	2	"[""NO"", ""YES""]"	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	followup_loss_like	followup_loss_signal	signal_followup_lost_to_followup_table	followup_lost_to	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	tumor_status	9	person_neoplasm_cancer_status	follow-up / outcome-like	0.054469	677	2	"[""TUMOR FREE"", ""WITH TUMOR""]"	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	progression_or_tumor_status_like	tumor_status_signal	signal_tumor_status_name	tumor_status	high	[fill in during endpoint crosswalk review]
20260412T042036Z	20260412T033602Z	20260412T023839Z	20260412T010932Z	20260412T000556Z	clinical_follow_up_v4_0	vital_status	10	vital_status	follow-up / outcome-like	0.013966	706	2	"[""Alive"", ""Dead""]"	usable_endpoint_candidate	usable_endpoint_candidate	endpoint_candidate_time_or_status_signal	select_usable_endpoint_candidate	survival_status_like	survival_status_signal	signal_vital_status_name	vital_status	high	[fill in during endpoint crosswalk review]
