cohort	subtype_label	patients_n	pct_of_cohort	subtype_field_used
TCGA-BRCA	LumA	415	38.57	PAM50Call_RNAseq
TCGA-BRCA	Missing	250	23.23	PAM50Call_RNAseq
TCGA-BRCA	LumB	189	17.57	PAM50Call_RNAseq
TCGA-BRCA	Basal	138	12.83	PAM50Call_RNAseq
TCGA-BRCA	Her2	62	5.76	PAM50Call_RNAseq
TCGA-BRCA	Normal	22	2.04	PAM50Call_RNAseq
METABRIC	LumA	700	27.9	CLAUDIN_SUBTYPE
METABRIC	Missing	529	21.08	CLAUDIN_SUBTYPE
METABRIC	LumB	475	18.93	CLAUDIN_SUBTYPE
METABRIC	Her2	224	8.93	CLAUDIN_SUBTYPE
METABRIC	claudin-low	218	8.69	CLAUDIN_SUBTYPE
METABRIC	Basal	209	8.33	CLAUDIN_SUBTYPE
METABRIC	Normal	148	5.9	CLAUDIN_SUBTYPE
METABRIC	NC	6	0.24	CLAUDIN_SUBTYPE
